"전출지별","전입지별","이동규모별",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"서울특별시","제주특별자치도","4인",217,220,229,219,226,193,155,166,144,153
"서울특별시","제주특별자치도","5인",35,46,57,36,49,38,25,29,30,27
"부산광역시","전국","계",303397,310575,321448,306614,306145,297803,298400,340566,326656,288383
"부산광역시","전국","1인",205863,213596,219758,215702,220519,219857,224279,251346,251728,226678
"부산광역시","전국","2인",38754,39472,41389,38909,37791,35218,34155,40403,36922,30619
"부산광역시","전국","3인",29742,29213,30858,27498,25703,23140,21785,26288,21167,17795
"부산광역시","전국","4인",23064,22322,23244,19418,17517,15669,14612,18326,13703,10851
"부산광역시","전국","5인",4891,4822,5063,4126,3760,3241,2952,3540,2635,2051
"부산광역시","서울특별시","계",16571,17365,16568,16730,16675,17320,17893,18429,18039,17668
"부산광역시","서울특별시","1인",14803,15492,14910,15208,15060,15868,16468,16913,16803,16584
"부산광역시","서울특별시","2인",950,977,885,855,878,832,801,836,760,644
"부산광역시","서울특별시","3인",439,493,410,403,384,341,333,375,269,254
"부산광역시","서울특별시","4인",310,340,301,222,292,223,249,255,168,155
"부산광역시","서울특별시","5인",57,50,50,34,46,48,37,43,32,24
"부산광역시","부산광역시","계",199963,200165,211188,199908,196350,191380,191604,229689,215595,188193
"부산광역시","부산광역시","1인",121456,123437,128572,127638,130811,129444,132571,155263,155110,137729
"부산광역시","부산광역시","2인",29525,29734,31705,29607,27923,26825,26304,32299,28779,24156
"부산광역시","부산광역시","3인",24408,23630,25783,22297,20066,18827,17655,22493,17494,14857
"부산광역시","부산광역시","4인",19456,18441,19843,16120,13869,13008,12091,15956,11593,9347
"부산광역시","부산광역시","5인",4204,4029,4361,3450,3021,2704,2459,3095,2195,1769
"부산광역시","대구광역시","계",3794,4018,3651,3665,3733,3749,3594,4044,4020,4101
"부산광역시","대구광역시","1인",3133,3347,3145,3160,3279,3321,3228,3682,3609,3726
"부산광역시","대구광역시","2인",323,302,266,221,246,214,189,190,217,190
"부산광역시","대구광역시","3인",170,187,117,154,118,127,105,91,117,103
"부산광역시","대구광역시","4인",124,139,96,103,74,69,62,69,62,68
"부산광역시","대구광역시","5인",28,32,23,22,11,13,9,9,12,13
"부산광역시","인천광역시","계",2253,2309,2389,2426,2356,2361,2490,2463,2332,2284
"부산광역시","인천광역시","1인",1853,1878,1963,2050,1996,2059,2171,2160,2072,2015
"부산광역시","인천광역시","2인",182,187,201,183,190,147,163,158,149,165
"부산광역시","인천광역시","3인",126,126,117,118,90,85,82,86,60,65
"부산광역시","인천광역시","4인",78,91,82,60,57,60,61,49,47,30
"부산광역시","인천광역시","5인",9,17,18,10,19,7,11,10,4,5
"부산광역시","광주광역시","계",839,1320,929,853,844,854,833,956,972,895
"부산광역시","광주광역시","1인",710,1063,786,727,712,757,737,848,874,827
"부산광역시","광주광역시","2인",71,115,67,50,70,56,54,58,52,39
"부산광역시","광주광역시","3인",39,59,42,41,38,27,27,30,27,15
"부산광역시","광주광역시","4인",17,50,24,26,14,12,10,14,15,13
"부산광역시","광주광역시","5인",2,18,8,8,9,0,4,5,4,1
"부산광역시","대전광역시","계",1602,1597,1700,1753,1697,1744,1756,1808,1859,1802
"부산광역시","대전광역시","1인",1330,1324,1418,1495,1441,1510,1527,1613,1702,1646
"부산광역시","대전광역시","2인",116,109,141,130,126,102,109,102,86,91
"부산광역시","대전광역시","3인",77,83,75,70,71,72,68,54,44,39
"부산광역시","대전광역시","4인",65,58,50,46,45,51,39,32,21,18
"부산광역시","대전광역시","5인",12,14,12,10,12,8,12,6,4,7
"부산광역시","울산광역시","계",8907,9524,9472,8087,7587,7428,7539,7798,7876,7250
"부산광역시","울산광역시","1인",7451,8017,8100,7010,6531,6455,6614,6994,7120,6661
"부산광역시","울산광역시","2인",681,738,736,526,541,538,526,455,457,346
"부산광역시","울산광역시","3인",417,397,366,314,303,244,224,222,170,156
"부산광역시","울산광역시","4인",273,273,220,181,171,149,136,101,104,73
"부산광역시","울산광역시","5인",69,73,42,51,31,35,35,21,22,10
"부산광역시","세종특별자치시","계",182,317,549,557,555,666,651,688,700,629
"부산광역시","세종특별자치시","1인",145,230,369,412,399,519,524,551,580,513
"부산광역시","세종특별자치시","2인",11,42,65,49,61,62,54,49,56,48
"부산광역시","세종특별자치시","3인",12,20,49,49,49,46,39,44,35,42
"부산광역시","세종특별자치시","4인",12,20,48,38,39,33,24,37,26,21
"부산광역시","세종특별자치시","5인",2,4,17,8,6,6,7,4,2,4
"부산광역시","경기도","계",12079,12507,12485,12598,12549,13182,13327,14318,14358,13168
"부산광역시","경기도","1인",9998,10375,10362,10542,10720,11231,11579,12469,12647,11792
"부산광역시","경기도","2인",980,967,1031,996,920,934,866,1026,889,755
"부산광역시","경기도","3인",565,564,531,533,481,561,495,438,466,372
"부산광역시","경기도","4인",440,455,446,409,339,379,321,327,277,210
"부산광역시","경기도","5인",76,102,78,88,66,62,57,53,67,37
"부산광역시","강원도","계",1673,1658,1794,1680,1808,1539,1685,1769,1759,1573
"부산광역시","강원도","1인",1409,1415,1516,1444,1540,1308,1452,1562,1549,1378
