"행정구역별(시군구)","성별","연령별","시점","전국","서울","부산","대구","인천","광주","대전","울산","세종시","경기도","강원도","충청북도","충청남도","전라북도","전라남도","경상북도","경상남도","제주특별자치도","기타",
"읍부","계","20~24세","2020 년","37545","995","764","1276","375","402","294","983","2851","5105","1954","2384","4975","2139","3066","7286","1830","356","510",
"읍부","계","20~24세","2021 년","35790","987","835","1371","407","357","363","897","2131","5634","1652","2661","4640","1890","2430","6857","2194","414","70",
"읍부","계","25~29세","2020 년","53027","2011","2016","2751","745","684","604","1801","1346","12662","2146","4948","4941","1591","3360","5978","4313","704","426",
"읍부","계","25~29세","2021 년","59805","2439","2366","3165","771","684","756","2089","1331","14633","2256","5545","5553","1833","3768","6661","4960","796","199",
"읍부","계","30~34세","2020 년","46324","1501","1789","2634","476","414","361","1523","581","12433","1700","4205","4620","1115","2798","5149","3966","783","276",
"읍부","계","30~34세","2021 년","53125","1741","2054","2852","597","396","403","1733","713","14605","1808","4763","5153","1363","3245","6094","4474","907","224",
"읍부","계","35~39세","2020 년","42216","1046","1594","2294","370","276","225","1483","408","12142","1479","3279","4093","952","2772","4837","3673","1045","248",
"읍부","계","35~39세","2021 년","44331","1122","1546","2308","382","240","238","1590","434","12795","1474","3495","4464","1021","2915","5332","3766","1046","163",
"읍부","계","40~44세","2020 년","40744","847","1480","1954","375","225","149","1470","374","11894","1544","2754","4001","987","2849","4782","3506","1254","299",
"읍부","계","40~44세","2021 년","45537","931","1622","2201","385","221","175","1661","404","13433","1695","3127","4482","1110","3228","5588","3829","1300","145",
"읍부","계","45~49세","2020 년","47885","873","1472","2032","431","226","143","1830","452","13486","2157","3196","4649","1238","3732","5712","4192","1598","466",
"읍부","계","45~49세","2021 년","49346","861","1519","2065","423","203","153","1818","445","14259","2103","3334","4850","1295","3904","6127","4234","1616","137",
