"행정구역별","성별","연령별","혼인상태별","시점","1인가구-계","본인의 직장 때문에","본인의 학업 때문에","본인의 독립 생활을 위하여","본인의 건강 때문에","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","가족과 사별","기타",
"동부","남자","20~24","합계","2020년","186078","51023","92008","31986","","8451","2235","375",
"동부","남자","20~24","미혼","2020년","185694","50850","92002","31891","","8379","2197","375",
"동부","남자","20~24","배우자 있음","2020년","202","99","6","32","","65","","",
"동부","남자","20~24","사별","2020년","11","","","","","","11","",
"동부","남자","20~24","이혼","2020년","171","74","","63","","7","27","",
"동부","남자","25~29","합계","2020년","377922","231119","34917","91478","","14052","5007","1349",
"동부","남자","25~29","미혼","2020년","373076","228228","34873","90320","","13455","4926","1274",
"동부","남자","25~29","배우자 있음","2020년","3432","2353","32","484","","488","","75",
"동부","남자","25~29","사별","2020년","95","20","","30","","7","38","",
"동부","남자","25~29","이혼","2020년","1319","518","12","644","","102","43","",
"동부","남자","30~34","합계","2020년","341893","218672","3336","97528","808","14146","5618","1785",
"동부","남자","30~34","미혼","2020년","321204","205132","3293","94020","808","11388","5074","1489",
"동부","남자","30~34","배우자 있음","2020년","15476","11366","43","1269","","2344","171","283",
"동부","남자","30~34","사별","2020년","255","81","","34","","17","123","",
"동부","남자","30~34","이혼","2020년","4958","2093","","2205","","397","250","13",
"동부","남자","35~39","합계","2020년","270189","149099","433","95770","1254","15072","7055","1506",
"동부","남자","35~39","미혼","2020년","229931","124295","382","87145","1127","9823","6033","1126",
"동부","남자","35~39","배우자 있음","2020년","25773","18623","51","2085","50","4302","341","321",
"동부","남자","35~39","사별","2020년","516","214","","63","","33","202","4",
"동부","남자","35~39","이혼","2020년","13969","5967","","6477","77","914","479","55",
"동부","남자","40~44","합계","2020년","223989","114239","150","82980","2239","14400","8229","1752",
"동부","남자","40~44","미혼","2020년","166511","81208","119","68223","1706","7382","6531","1342",
