"행정구역별","성별","연령별","시점","1인가구","초등학교","중학교","고등학교","대학(4년제미만)","대학교(4년제이상)","대학원","안받았음(미취학 포함)",
"종로구","남자","40~44","2015년","791","","50","247","96","295","103","",
"종로구","남자","45~49","2015년","868","24","85","351","34","266","108","",
"종로구","남자","50~54","2015년","891","34","110","354","51","222","120","",
"종로구","남자","55~59","2015년","779","85","229","175","36","134","110","10",
"종로구","남자","60~64","2015년","581","107","151","214","11","71","22","5",
"종로구","남자","65~69","2015년","496","96","105","164","9","80","21","21",
"종로구","남자","70~74","2015년","455","165","100","71","2","73","14","30",
"종로구","남자","75~79","2015년","288","115","25","51","","27","35","35",
"종로구","남자","80~84","2015년","143","42","5","39","","25","3","29",
"종로구","남자","85세 이상","2015년","95","28","","13","","40","8","6",
"종로구","여자","합계","2015년","11280","1730","924","1790","770","4024","1473","569",
"종로구","여자","20세 미만","2015년","172","","2","11","13","146","","",
"종로구","여자","20~24","2015년","1358","","","25","116","1196","21","",
"종로구","여자","25~29","2015년","1492","","","105","166","917","304","",
"종로구","여자","30~34","2015년","1057","","","91","141","515","310","",
"종로구","여자","35~39","2015년","604","","8","86","78","265","167","",
"종로구","여자","40~44","2015년","661","","39","144","76","242","160","",
"종로구","여자","45~49","2015년","659","","51","191","33","234","150","",
"종로구","여자","50~54","2015년","638","48","84","217","52","113","124","",
"종로구","여자","55~59","2015년","620","67","85","258","54","65","91","",
"종로구","여자","60~64","2015년","672","124","203","195","8","77","36","29",
"종로구","여자","65~69","2015년","877","343","125","181","17","121","66","24",
"종로구","여자","70~74","2015년","896","443","143","120","8","24","38","120",
"종로구","여자","75~79","2015년","796","382","113","75","6","32","6","182",
"종로구","여자","80~84","2015년","529","243","52","49","","56","","129",
"종로구","여자","85세 이상","2015년","249","80","19","42","2","21","","85",
"중구","계","합계","2015년","19124","2112","2016","5249","1796","5837","1136","978",
"중구","계","20세 미만","2015년","242","","","40","59","143","","",
"중구","계","20~24","2015년","1612","","","177","186","1209","40","",
"중구","계","25~29","2015년","2070","","","296","262","1332","180","",
"중구","계","30~34","2015년","1991","","36","448","331","954","222","",
"중구","계","35~39","2015년","1474","","26","433","252","622","141","",
"중구","계","40~44","2015년","1462","7","98","574","218","408","157","",
"중구","계","45~49","2015년","1655","28","164","698","161","411","187","6",
"중구","계","50~54","2015년","1550","141","293","656","122","241","85","12",
"중구","계","55~59","2015년","1350","150","301","592","79","163","57","8",
"중구","계","60~64","2015년","1164","181","312","499","17","92","23","40",
"중구","계","65~69","2015년","1331","405","297","391","35","79","19","105",
"중구","계","70~74","2015년","1347","460","242","260","28","93","25","239",
"중구","계","75~79","2015년","1070","440","148","138","37","54","","253",
"중구","계","80~84","2015년","502","190","56","35","3","28","","190",
"중구","계","85세 이상","2015년","304","110","43","12","6","8","","125",
"중구","남자","합계","2015년","9664","609","1111","3125","890","3168","581","180",
"중구","남자","20세 미만","2015년","94","","","15","17","62","","",
"중구","남자","20~24","2015년","684","","","90","69","516","9","",
"중구","남자","25~29","2015년","1168","","","220","114","742","92","",
"중구","남자","30~34","2015년","1199","","27","272","183","577","140","",
"중구","남자","35~39","2015년","913","","13","302","131","421","46","",
"중구","남자","40~44","2015년","912","","63","415","123","231","80","",
"중구","남자","45~49","2015년","981","28","108","419","115","219","89","3",
"중구","남자","50~54","2015년","854","57","231","324","64","119","53","6",
"중구","남자","55~59","2015년","750","75","164","353","34","88","30","6",
"중구","남자","60~64","2015년","551","69","130","252","4","66","9","21",
"중구","남자","65~69","2015년","610","142","165","233","9","32","8","21",
"중구","남자","70~74","2015년","500","82","136","128","18","54","25","57",
"중구","남자","75~79","2015년","318","104","52","85","6","31","","40",
"중구","남자","80~84","2015년","85","29","20","8","3","4","","21",
"중구","남자","85세 이상","2015년","45","23","2","9","","6","","5",
"중구","여자","합계","2015년","9460","1503","905","2124","906","2669","555","798",
"중구","여자","20세 미만","2015년","148","","","25","42","81","","",
"중구","여자","20~24","2015년","928","","","87","117","693","31","",
"중구","여자","25~29","2015년","902","","","76","148","590","88","",
"중구","여자","30~34","2015년","792","","9","176","148","377","82","",
"중구","여자","35~39","2015년","561","","13","131","121","201","95","",
"중구","여자","40~44","2015년","550","7","35","159","95","177","77","",
"중구","여자","45~49","2015년","674","","56","279","46","192","98","3",
"중구","여자","50~54","2015년","696","84","62","332","58","122","32","6",
"중구","여자","55~59","2015년","600","75","137","239","45","75","27","2",
"중구","여자","60~64","2015년","613","112","182","247","13","26","14","19",
"중구","여자","65~69","2015년","721","263","132","158","26","47","11","84",
"중구","여자","70~74","2015년","847","378","106","132","10","39","","182",
"중구","여자","75~79","2015년","752","336","96","53","31","23","","213",
"중구","여자","80~84","2015년","417","161","36","27","","24","","169",
"중구","여자","85세 이상","2015년","259","87","41","3","6","2","","120",
"용산구","계","합계","2015년","31109","3052","2233","7062","3107","11392","3171","1092",
"용산구","계","20세 미만","2015년","192","","6","51","66","69","","",
"용산구","계","20~24","2015년","2218","","","241","404","1554","19","",
"용산구","계","25~29","2015년","3741","","2","325","525","2495","394","",
"용산구","계","30~34","2015년","4262","","8","644","636","2389","585","",
"용산구","계","35~39","2015년","3268","","23","640","443","1580","582","",
"용산구","계","40~44","2015년","2792","2","106","899","314","996","475","",
"용산구","계","45~49","2015년","2472","109","185","801","196","766","415","",
"용산구","계","50~54","2015년","1931","180","171","761","168","430","221","",
"용산구","계","55~59","2015년","2115","233","323","917","88","329","225","",
"용산구","계","60~64","2015년","1738","342","352","568","123","203","110","40",
"용산구","계","65~69","2015년","1533","428","323","367","43","210","43","119",
"용산구","계","70~74","2015년","1677","592","315","372","45","153","","200",
"용산구","계","75~79","2015년","1562","658","160","232","34","115","59","304",
"용산구","계","80~84","2015년","1085","308","212","179","22","70","28","266",
"용산구","계","85세 이상","2015년","523","200","47","65","","33","15","163",
"용산구","남자","합계","2015년","13674","986","818","3272","1575","5351","1485","187",
"용산구","남자","20세 미만","2015년","69","","","19","35","15","","",
"용산구","남자","20~24","2015년","625","","","127","148","350","","",
"용산구","남자","25~29","2015년","1761","","2","213","310","1148","88","",
"용산구","남자","30~34","2015년","2322","","8","363","372","1313","266","",
"용산구","남자","35~39","2015년","1799","","12","359","233","890","305","",
"용산구","남자","40~44","2015년","1463","2","85","463","142","516","255","",
"용산구","남자","45~49","2015년","1317","85","140","366","124","409","193","",
"용산구","남자","50~54","2015년","1092","139","99","368","92","256","138","",
"용산구","남자","55~59","2015년","934","155","127","362","17","161","112","",
"용산구","남자","60~64","2015년","791","163","127","264","50","81","70","36",
"용산구","남자","65~69","2015년","497","101","86","123","15","110","20","42",
"용산구","남자","70~74","2015년","416","156","32","155","13","32","","28",
"용산구","남자","75~79","2015년","343","115","40","63","18","37","19","51",
"용산구","남자","80~84","2015년","154","34","37","13","6","24","10","30",
"용산구","남자","85세 이상","2015년","91","36","23","14","","9","9","",
"용산구","여자","합계","2015년","17435","2066","1415","3790","1532","6041","1686","905",
"용산구","여자","20세 미만","2015년","123","","6","32","31","54","","",
"용산구","여자","20~24","2015년","1593","","","114","256","1204","19","",
"용산구","여자","25~29","2015년","1980","","","112","215","1347","306","",
"용산구","여자","30~34","2015년","1940","","","281","264","1076","319","",
"용산구","여자","35~39","2015년","1469","","11","281","210","690","277","",
"용산구","여자","40~44","2015년","1329","","21","436","172","480","220","",
"용산구","여자","45~49","2015년","1155","24","45","435","72","357","222","",
"용산구","여자","50~54","2015년","839","41","72","393","76","174","83","",
"용산구","여자","55~59","2015년","1181","78","196","555","71","168","113","",
"용산구","여자","60~64","2015년","947","179","225","304","73","122","40","4",
"용산구","여자","65~69","2015년","1036","327","237","244","28","100","23","77",
